iter	Passed	Remaining
401	15121	22493
402	15156	22452
403	15193	22413
404	15226	22370
405	15262	22330
406	15300	22292
407	15346	22267
408	15382	22226
409	15420	22190
410	15455	22149
411	15493	22112
412	15529	22072
413	15563	22030
414	15598	21988
415	15637	21953
416	15672	21911
417	15712	21877
418	15747	21836
419	15790	21805
420	15826	21766
421	15862	21726
422	15899	21687
423	15934	21646
424	15968	21604
425	16002	21561
426	16039	21524
427	16077	21486
428	16111	21444
429	16146	21403
430	16183	21365
431	16221	21328
432	16257	21288
433	16295	21251
434	16333	21214
435	16366	21171
436	16410	21141
437	16451	21109
438	16491	21074
439	16529	21037
440	16566	20999
441	16602	20959
442	16639	20921
443	16674	20880
444	16706	20836
445	16746	20801
446	16781	20761
447	16816	20720
448	16852	20681
449	16889	20642
450	16930	20609
451	16964	20567
452	17000	20527
453	17037	20489
454	17073	20450
455	17106	20408
456	17141	20367
457	17175	20325
458	17210	20285
459	17248	20248
460	17286	20211
461	17322	20171
462	17357	20131
463	17391	20089
464	17426	20050
465	17460	20008
466	17497	19969
467	17533	19930
468	17570	19892
469	17607	19855
470	17647	19820
471	17683	19782
472	17726	19750
473	17762	19711
474	17798	19672
475	17837	19635
476	17873	19597
477	17907	19555
478	17944	19518
479	17980	19478
480	18015	19439
481	18059	19408
482	18094	19367
483	18130	19329
484	18167	19291
485	18209	19258
486	18244	19218
487	18278	19177
488	18313	19137
489	18349	19098
490	18383	19057
491	18421	19020
492	18459	18983
493	18498	18947
494	18538	18913
495	18579	18879
496	18621	18845
497	18656	18806
498	18692	18767
499	18730	18730
500	18765	18690
501	18800	18650
502	18836	18612
503	18876	18576
504	18911	18537
505	18945	18496
506	18981	18457
507	19017	18418
508	19052	18378
509	19087	18339
510	19122	18299
511	19156	18258
512	19191	18218
513	19227	18180
514	19264	18142
515	19302	18105
516	19337	18066
517	19373	18026
518	19408	17987
519	19443	17947
520	19480	17909
521	19517	17872
522	19551	17831
523	19584	17790
524	19620	17751
525	19654	17711
526	19689	17672
527	19727	17635
528	19761	17595
529	19795	17554
530	19834	17518
531	19870	17480
532	19910	17444
533	19947	17406
534	19980	17366
535	20015	17326
536	20050	17287
537	20087	17249
538	20122	17210
539	20160	17173
540	20196	17135
541	20230	17095
542	20268	17058
543	20307	17022
544	20342	16983
545	20377	16944
546	20412	16904
547	20448	16866
548	20484	16828
549	20521	16790
550	20557	16751
551	20590	16711
552	20625	16672
553	20660	16632
