iter	Passed	Remaining
400	23259	63745
401	23316	63685
402	23373	63623
403	23431	63565
404	23489	63508
405	23548	63452
406	23600	63380
407	23668	63348
408	23723	63281
409	23778	63216
410	23812	63093
411	23866	63027
412	23923	62964
413	23986	62920
414	24042	62857
415	24104	62810
416	24162	62753
417	24217	62687
418	24270	62616
419	24323	62547
420	24383	62492
421	24435	62421
422	24497	62373
423	24568	62347
424	24630	62301
425	24691	62249
426	24752	62199
427	24807	62134
428	24864	62075
429	24923	62019
430	24980	61959
431	25038	61901
432	25093	61835
433	25148	61769
434	25201	61700
435	25261	61646
436	25314	61577
437	25371	61516
438	25437	61478
439	25495	61421
440	25551	61359
441	25613	61310
442	25671	61251
443	25726	61188
444	25796	61157
445	25865	61126
446	25928	61080
447	25994	61040
448	26062	61005
449	26117	60941
450	26178	60890
451	26256	60878
452	26322	60839
453	26377	60773
454	26432	60707
455	26488	60645
456	26522	60532
457	26580	60472
458	26636	60410
459	26692	60348
460	26748	60284
461	26805	60225
462	26860	60160
463	26913	60092
464	26969	60029
465	27028	59973
466	27086	59914
467	27145	59859
468	27198	59790
469	27257	59734
470	27312	59670
471	27368	59607
472	27423	59543
473	27486	59496
474	27539	59427
475	27595	59364
476	27668	59338
477	27721	59270
478	27793	59242
479	27853	59189
480	27928	59166
481	27995	59126
482	28054	59070
483	28112	59012
484	28179	58973
485	28244	58929
486	28307	58882
487	28386	58866
488	28441	58802
489	28497	58739
490	28551	58672
491	28607	58610
492	28666	58553
493	28720	58487
494	28778	58429
495	28834	58366
496	28889	58302
497	28941	58231
498	28996	58168
499	29065	58130
500	29124	58074
501	29182	58015
502	29238	57953
503	29291	57885
504	29348	57825
505	29407	57768
506	29462	57704
507	29521	57647
508	29582	57596
509	29661	57578
510	29721	57523
511	29783	57472
512	29842	57415
513	29898	57353
514	29955	57294
515	30000	57209
516	30058	57152
517	30114	57088
518	30170	57027
519	30225	56964
520	30282	56903
521	30335	56834
522	30392	56775
523	30451	56718
524	30504	56651
525	30559	56588
526	30620	56534
527	30677	56474
528	30731	56409
529	30787	56346
530	30841	56281
531	30896	56218
532	30950	56151
533	31006	56091
534	31065	56034
535	31120	55971
536	31178	55912
537	31236	55854
538	31291	55790
539	31346	55727
540	31419	55695
541	31476	55634
542	31529	55567
543	31581	55499
544	31639	55441
545	31694	55378
546	31752	55319
547	31808	55258
548	31865	55197
549	31920	55134
550	31975	55071
551	32040	55025
552	32096	54964
553	32155	54907
554	32213	54849
555	32282	54809
556	32339	54750
557	32395	54689
558	32465	54651
559	32518	54584
560	32572	54520
561	32628	54458
562	32682	54392
563	32736	54328
564	32799	54278
565	32853	54213
566	32905	54146
567	32961	54085
568	33022	54030
569	33074	53963
570	33132	53906
571	33187	53841
572	33241	53778
573	33308	53734
574	33363	53672
575	33420	53612
576	33473	53545
577	33525	53478
578	33578	53412
579	33651	53377
580	33708	53318
581	33761	53253
582	33814	53186
583	33871	53126
584	33925	53062
585	33981	53002
586	34035	52937
587	34089	52874
588	34146	52814
589	34198	52747
590	34253	52684
591	34308	52622
592	34364	52560
593	34418	52497
594	34476	52438
595	34527	52370
596	34588	52316
597	34653	52269
598	34710	52209
599	34770	52155
600	34826	52095
601	34886	52040
602	34940	51975
603	34999	51919
604	35052	51854
605	35110	51796
606	35168	51739
607	35220	51671
608	35270	51602
609	35325	51539
610	35381	51479
611	35438	51419
612	35492	51357
613	35546	51293
614	35608	51241
615	35663	51178
616	35715	51112
617	35771	51052
618	35826	50989
619	35878	50923
620	35934	50863
621	35996	50812
622	36057	50758
623	36116	50701
624	36173	50642
625	36231	50584
626	36290	50528
627	36348	50471
628	36415	50426
629	36479	50377
630	36534	50314
631	36586	50248
632	36648	50195
633	36715	50150
634	36782	50105
635	36858	50072
636	36921	50020
637	36977	49960
638	37036	49903
639	37092	49842
640	37147	49780
641	37200	49716
642	37256	49655
643	37311	49593
644	37379	49549
645	37433	49486
646	37487	49423
647	37545	49364
648	37603	49307
649	37674	49266
650	37731	49208
651	37785	49143
652	37839	49080
653	37892	49017
654	37946	48953
655	38001	48891
656	38054	48828
657	38110	48767
658	38163	48703
659	38217	48639
660	38270	48576
661	38328	48518
662	38385	48459
663	38439	48396
664	38493	48333
665	38547	48271
666	38603	48211
667	38658	48149
668	38708	48082
669	38763	48020
670	38826	47969
671	38887	47914
672	38949	47861
673	39004	47801
674	39062	47743
675	39121	47686
676	39174	47623
677	39229	47561
678	39284	47500
679	39343	47443
680	39398	47381
681	39455	47323
682	39512	47265
683	39569	47205
684	39644	47168
685	39702	47110
686	39761	47054
687	39815	46992
688	39875	46936
689	39932	46876
690	39988	46816
691	40040	46752
692	40095	46691
693	40151	46631
694	40205	46569
695	40259	46506
696	40314	46445
697	40371	46387
698	40425	46324
699	40479	46262
700	40533	46199
701	40586	46136
702	40642	46077
703	40696	46014
704	40749	45952
705	40800	45886
706	40854	45824
707	40919	45774
708	40977	45716
709	41033	45657
710	41089	45597
711	41146	45538
712	41200	45476
713	41253	45413
714	41307	45351
715	41364	45292
716	41419	45232
717	41476	45173
718	41533	45114
719	41598	45065
720	41654	45004
721	41723	44959
722	41779	44899
723	41831	44835
724	41884	44773
725	41939	44712
726	41997	44654
727	42051	44593
728	42109	44535
729	42165	44475
730	42220	44414
731	42285	44365
732	42342	44306
733	42398	44246
734	42464	44197
735	42518	44135
736	42576	44078
737	42632	44019
738	42688	43959
739	42742	43897
740	42796	43836
741	42850	43774
742	42906	43715
743	42965	43658
744	43022	43600
745	43078	43540
746	43132	43479
747	43187	43418
748	43241	43357
749	43298	43298
750	43356	43241
751	43415	43184
752	43471	43124
753	43526	43064
754	43579	43002
755	43638	42945
756	43698	42890
757	43750	42827
758	43805	42766
759	43857	42703
760	43909	42639
761	43974	42589
762	44032	42531
763	44094	42478
764	44149	42418
765	44206	42359
766	44261	42299
767	44320	42243
768	44376	42183
769	44433	42125
770	44490	42066
771	44547	42008
772	44604	41950
773	44661	41891
774	44715	41830
775	44769	41769
776	44827	41711
777	44885	41654
778	44951	41604
779	45012	41549
780	45068	41490
781	45122	41429
782	45173	41366
783	45225	41302
784	45282	41244
785	45340	41187
786	45420	41149
787	45479	41093
788	45532	41031
789	45595	40978
790	45652	40919
791	45719	40870
792	45774	40810
793	45835	40755
794	45894	40698
795	45949	40638
796	46004	40578
797	46061	40520
798	46135	40476
799	46196	40422
800	46254	40364
801	46316	40310
802	46382	40259
803	46439	40201
804	46493	40140
805	46546	40078
806	46607	40023
807	46662	39963
808	46717	39903
809	46770	39841
810	46828	39784
811	46882	39722
812	46937	39663
813	46996	39605
814	47050	39545
815	47110	39489
816	47172	39435
817	47230	39377
818	47282	39315
819	47341	39259
820	47399	39200
821	47455	39142
822	47511	39083
823	47572	39027
824	47634	38973
825	47689	38914
826	47742	38851
827	47796	38791
828	47872	38748
829	47926	38687
830	47984	38629
831	48038	38569
832	48093	38509
833	48148	38449
834	48203	38389
835	48255	38327
836	48311	38268
837	48366	38208
838	48437	38161
839	48490	38099
840	48544	38039
841	48603	37982
842	48655	37920
843	48708	37859
844	48764	37799
845	48819	37740
846	48872	37678
847	48925	37617
848	48985	37561
849	49045	37505
850	49100	37445
851	49152	37383
852	49208	37324
853	49262	37264
854	49319	37205
855	49373	37145
856	49430	37087
857	49486	37028
858	49541	36968
859	49610	36919
860	49667	36861
861	49723	36802
862	49782	36745
863	49840	36687
864	49902	36633
865	49960	36576
866	50015	36516
867	50072	36458
868	50127	36398
869	50184	36340
870	50237	36279
871	50295	36221
872	50351	36163
873	50407	36104
874	50466	36047
875	50522	35988
876	50580	35930
877	50634	35871
878	50687	35810
879	50741	35749
880	50796	35690
881	50848	35628
882	50903	35568
883	50958	35509
884	51012	35449
885	51070	35391
886	51125	35332
887	51187	35277
888	51244	35219
889	51300	35161
890	51355	35101
891	51411	35043
892	51467	34983
893	51518	34922
894	51620	34894
895	51675	34834
896	51737	34779
897	51792	34720
898	51846	34660
899	51901	34601
900	51958	34542
901	52013	34483
902	52071	34426
903	52128	34367
904	52184	34309
905	52304	34292
906	52364	34236
907	52423	34179
908	52481	34121
909	52535	34061
